State,Districts
Andhra_Pradesh,Chittoor
Andhra_Pradesh,Cuddapah
Andhra_Pradesh,East_Godavari
Andhra_Pradesh,Guntur
Andhra_Pradesh,Krishna
Andhra_Pradesh,Srikakulam
Andhra_Pradesh,West_Godavari
Daman_and_Diu,Diu
Goa,North_Goa
Goa,South_Goa
Himachal_Pradesh,Bilaspur(HP)
Himachal_Pradesh,Chamba
Himachal_Pradesh,Hamirpur
Himachal_Pradesh,Kangra
Himachal_Pradesh,Kullu
Himachal_Pradesh,Mandi
Himachal_Pradesh,Shimla
Himachal_Pradesh,Sirmaur
Himachal_Pradesh,Solan
Himachal_Pradesh,Una
Karnataka,Mysore
Karnataka,Tumkur
Kerala,Alappuzha
Kerala,Ernakulam
Kerala,Idukki
Kerala,Kannur
Kerala,Kasaragod
Kerala,Kollam
Kerala,Kottayam
